First name,Last name,hn,st,tow,ci,pc,reg,make,model,eng
Erminie,McCluney,97,Heffernan,Grand Junction,Colorado,81505,3N1BC1AP5BL916571,Saab,9000,3.8
Britni,Nelle,86,Express,Jacksonville,Florida,32244,WBAUU3C56CA231740,Lincoln,Town Car,3.1
Beret,Bragg,22,Annamark,Albuquerque,New Mexico,87121,1C3CDFBB1FD772046,Mitsubishi,Galant,2.4
Tonia,Westnage,58,Charing Cross,Sacramento,California,95852,WAUHFAFL9FN007899,Acura,NSX,2.9
Emlynne,Josephoff,11,Loeprich,New Orleans,Louisiana,70142,WBABD334X6J329320,Land Rover,Range Rover,3.3
Alaric,Van der Merwe,35,Mcbride,El Paso,Texas,79945,1FMJK1F59AE322835,Ford,E-Series,3
Caresa,Frangione,48,Hollow Ridge,Myrtle Beach,South Carolina,29579,1G6AL5SX3E0362322,Buick,Terraza,3.4
Kaitlin,Swin,32,Northfield,Bradenton,Florida,34210,WBSBR934X1E748186,Land Rover,Discovery,1.8
Devy,Carloni,25,Springview,Bakersfield,California,93399,5UXFG2C58E0231307,Chrysler,New Yorker,2
Savina,Fortie,20,Green Ridge,Baton Rouge,Louisiana,70826,1FAHP3HN8AW471463,Mazda,CX-7,2.3
Eadie,Brandrick,17,Marcy,Peoria,Illinois,61614,WAUUFAFHXBN646653,Toyota,Matrix,1.8
Auberta,Seywood,36,Blue Bill Park,Shawnee Mission,Kansas,66286,1GYS4HEF2DR961591,Ford,Bronco II,1.2
Kirsti,Tebald,19,Oneill,Tuscaloosa,Alabama,35405,2G4GU5EV1C9031624,Chevrolet,Corsica,1
Herb,Feuell,28,Florence,Fairfield,Connecticut,6825,WBAUN1C53CV047110,Subaru,Impreza WRX,3.3
Kippie,Willans,72,Rieder,North Las Vegas,Nevada,89036,WUAPV64B23N195382,GMC,Yukon XL 1500,3.9
Jere,Ings,36,Helena,Albuquerque,New Mexico,87121,5N1AN0NW8FN331838,Toyota,MR2,2.2
Rob,Blow,95,Menomonie,San Luis Obispo,California,93407,JM1NC2MF0E0209723,Suzuki,Swift,0.9
Fabian,Newcombe,65,Hansons,Bakersfield,California,93305,1G4GJ5E35CF936964,Volkswagen,Jetta III,2.5
Hurlee,Duffield,80,Charing Cross,Midland,Texas,79705,WDDGF4HB3DR465180,Cadillac,CTS,1
Meggi,Windress,83,Bellgrove,Gainesville,Florida,32610,4T1BK1EB2EU488351,GMC,1500 Club Coupe,1.3
Stillman,MacArdle,59,Garrison,Birmingham,Alabama,35290,JHMZE2H32ES759424,Buick,Riviera,1
Silas,Sabberton,97,2nd,El Paso,Texas,79916,2C4RDGBG0FR364562,GMC,Canyon,2.2
Bailey,Killich,5,Clyde Gallagher,Conroe,Texas,77305,SCBFH7ZA4FC098418,Bentley,Arnage,2.6
Cyndi,Francois,82,Scott,Hartford,Connecticut,6183,WBAWL13548P259699,GMC,2500 Club Coupe,3.7
Saba,Meaker,54,Meadow Ridge,Colorado Springs,Colorado,80935,YV1612FH8D1861758,Toyota,Camry,1.7
Lisle,Swannack,11,Jana,Salt Lake City,Utah,84140,1GTCSBD93A8404294,Buick,Regal,3.8
